Iteration,My,Sigma
343,3.19882914042184,1.42321127179117
344,3.19444427635385,1.43083961824089
345,3.18653277048084,1.41838804012094
346,3.18538481595255,1.4219572500602
347,3.19423045191612,1.41272829987494
348,3.18452004773641,1.42396108224971
349,3.17203081423146,1.43850263688628
350,3.17447189186478,1.42818350189002
351,3.18330834611338,1.40991081643148
352,3.18860655847539,1.42067897031571
353,3.18911178471535,1.43525429841525
354,3.18845066463704,1.44237126976067
355,3.19075665585739,1.41670489724648
356,3.20331730438777,1.40549687364729
357,3.20331730438777,1.40549687364729
358,3.21816801417738,1.41126082532773
359,3.22613250859229,1.41992374906394
360,3.22877744256374,1.41844004452539
361,3.22971815956818,1.43034280595056
362,3.21809429570512,1.41570095335503
363,3.22465622248573,1.41414028365291
364,3.21124138426804,1.40903944745524
365,3.23083778553059,1.39641816247047
366,3.22428463102472,1.39977706890518
367,3.22206408470818,1.39225015557505
368,3.2390584280834,1.38418184378029
369,3.23390251402029,1.39475596285968
370,3.23894455520384,1.38670223406883
371,3.23894455520384,1.38670223406883
372,3.22188754764069,1.38481262105041
373,3.22188754764069,1.38481262105041
374,3.21211901398073,1.37791247466296
375,3.20210256589108,1.36755400914036
376,3.21961256622665,1.35681944039125
377,3.22163320083991,1.35912126975709
378,3.22858495823166,1.35708722487183
379,3.22943341526907,1.34176124710992
380,3.2325330193677,1.34562421634687
381,3.2325330193677,1.34562421634687
382,3.23832916048599,1.34943454730501
383,3.23910764775996,1.34674903715856
384,3.23750182237812,1.3681224318026
385,3.23750182237812,1.3681224318026
386,3.2120232061157,1.37983079827283
387,3.22246859473677,1.38453586298633
388,3.22712365546797,1.36405208777488
389,3.22452454902431,1.36236974389833
390,3.22195907155928,1.35702698178842
391,3.21725808311787,1.35224642475272
392,3.21725808311787,1.35224642475272
393,3.21715591693981,1.34312111416425
394,3.21705066898563,1.34507943261048
395,3.21995997557326,1.33619598204508
396,3.22165230051749,1.32602452631024
397,3.2333649756608,1.34403174233354
398,3.23829387209056,1.33830107173979
399,3.22340248548657,1.35032681046614
400,3.21377676545026,1.34943715055332
401,3.20942934017927,1.3533265988434
402,3.21607990283703,1.34683495822869
403,3.20516292081893,1.36107537106261
404,3.20246587152813,1.38014683999814
405,3.22210197840017,1.38201051949166
406,3.22490912626406,1.38481536799358
407,3.21739818721537,1.37451861246591
408,3.23512505126521,1.37992473368386
409,3.2353307821285,1.39676530317561
410,3.23986914980021,1.3981336387589
411,3.2411419922218,1.39636486664182
412,3.24069130522101,1.39301271372338
413,3.23845003521506,1.41043859753704
414,3.24828462272269,1.40682017414825
415,3.24052307447825,1.42983453349506
416,3.22477455339526,1.44092736422542
417,3.21181540472396,1.43489832982559
418,3.19156330225949,1.41995441179985
419,3.17443396843253,1.43365661889936
420,3.17919862916317,1.45013282554625
421,3.18918326477019,1.45490813399103
422,3.20368124634265,1.4693580993324
423,3.20888147387431,1.47156716959292
424,3.19536809937801,1.46324158843776
425,3.18726257299257,1.46221786397258
426,3.18657319732975,1.46404778100533
427,3.18657319732975,1.46404778100533
428,3.19092952117127,1.46749911422469
429,3.19302146340669,1.47962407806465
430,3.20577671782513,1.48164373310443
431,3.20900085845991,1.48703338074947
432,3.20091702558388,1.48290959764565
433,3.20131201071644,1.49423049295745
434,3.18860327384033,1.48795105270693
435,3.18520368766734,1.47753691274
436,3.19171614968694,1.49105536065805
437,3.20001901567457,1.48061552532275
438,3.19403838289866,1.47534253837356
439,3.19311507702119,1.47062757999813
440,3.2008154051104,1.48106208366074
441,3.21357729917214,1.4871874443421
442,3.20744696533367,1.50027637201924
443,3.21291489479278,1.50286012807003
444,3.20832472094208,1.4852650710412
445,3.2178608106338,1.49438813992763
446,3.22049257089523,1.48913948560824
447,3.23461226414355,1.49835649628893
448,3.23605827144379,1.4867546369266
449,3.23605827144379,1.4867546369266
450,3.24749043250507,1.48166983120783
451,3.24726256204183,1.46103623401032
452,3.24648632866815,1.46095315644003
